FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
116,0.776486695,0.690099835,0.537641525,0.519020975,6.39
117,0.875920951,0.782274544,0.746960819,0.667760372,9.79
118,0.828763187,0.75260973,0.53151232,0.508456826,0
119,0.850099444,0.758991659,0.608040988,0.566978335,9.07
120,0.784993291,0.713857293,0.546750665,0.525859714,0
121,0.833851993,0.746429086,0.598783016,0.562715054,12.42
122,0.857373953,0.758564234,0.67827934,0.612286091,10.37
123,0.803433955,0.712706268,0.573503911,0.549177289,10.25
124,0.818224728,0.753886819,0.601614535,0.560817182,0
125,0.856529415,0.758189678,0.636521637,0.587473929,13.43
126,0.825827062,0.73582232,0.578560472,0.548507512,8.33
127,0.824510813,0.733953238,0.59476006,0.561660707,8.6
128,0.813980401,0.720663011,0.574095905,0.543855488,9.26
129,0.827259302,0.717903912,0.591831982,0.554400265,8.99
130,0.821710408,0.733511388,0.59354949,0.5536834,5.92
131,0.846283436,0.732676685,0.623335719,0.582841158,11.94
132,0.824693501,0.741458893,0.621775329,0.578781009,5.68
133,0.812197208,0.743692517,0.583832026,0.552738845,8.83
134,0.792402804,0.705457509,0.54847765,0.523269296,6.2
135,0.814429164,0.72758621,0.550816357,0.52356559,15.74
136,0.82530874,0.735964835,0.592300832,0.553201616,0
137,0.779841304,0.703809261,0.5568223,0.522072971,6.05
138,0.833771944,0.740015566,0.615424097,0.574154377,6.13
139,0.809833586,0.720768213,0.560949743,0.533815503,8.02
140,0.845401585,0.758212805,0.639101744,0.588560998,7.66
141,0.843278229,0.75910455,0.538075447,0.517049193,0
142,0.826352537,0.741088748,0.62068212,0.575069606,6.14
143,0.852599144,0.752464473,0.673321009,0.616529703,8.06
144,0.85094893,0.749084771,0.663426697,0.616858304,5.04
145,0.864195943,0.75688529,0.689456761,0.629983366,14.18
146,0.872435629,0.764020443,0.690483332,0.630712628,10.95
147,0.809313118,0.727001011,0.560618639,0.530821562,0
148,0.868596554,0.781640589,0.628531575,0.587586999,8.12
149,0.851949036,0.76135695,0.643980801,0.595490336,8.67
150,0.840777159,0.73396039,0.640198052,0.598006845,7.16
151,0.808269739,0.764573097,0.569993615,0.540158451,5.77
152,0.841803193,0.739147902,0.630532444,0.587230384,5.35
