FID_,band1_ndvi,band2_gndvi,band3_evi,band4_savi,tons_area
1017,0.823263943,0.732270718,0.589318573,0.551117957,5.17
1296,0.846279323,0.771054864,0.715836644,0.638280153,5.17
2748,0.763304889,0.708648086,0.525258482,0.516403854,5.17
1551,0.739464939,0.689851105,0.484535187,0.474076122,5.18
2287,0.823260546,0.735432625,0.592330217,0.562987626,5.18
2703,0.7509498,0.687176704,0.50247395,0.493854254,5.18
3297,0.813938797,0.747890234,0.668716788,0.604337394,5.18
316,0.803128421,0.712050259,0.587120295,0.548532248,5.19
900,0.789134204,0.697206736,0.554069817,0.533383906,5.19
3507,0.758059978,0.671228111,0.517756522,0.502410471,5.19
1497,0.812517226,0.737287879,0.577334106,0.536319435,5.2
2789,0.828927398,0.74210912,0.632329643,0.583297968,5.21
2313,0.810107827,0.72962451,0.553667605,0.516284823,5.22
3366,0.788927019,0.71349442,0.5675928,0.528075635,5.22
731,0.796801507,0.741023242,0.585855126,0.549665928,5.23
1592,0.752185583,0.690217674,0.530142963,0.494046837,5.23
2633,0.828244925,0.746884048,0.622256041,0.582196414,5.23
3348,0.774775505,0.678735912,0.515889227,0.499115676,5.23
198,0.827754438,0.739398122,0.57359612,0.547298014,5.24
808,0.879368961,0.78389436,0.609692454,0.565582573,5.24
2706,0.74146378,0.684155643,0.517885327,0.483612806,5.24
861,0.83143729,0.773885667,0.684999943,0.621613324,5.25
901,0.785864294,0.70073694,0.56292671,0.542852163,5.25
3726,0.776358783,0.715428352,0.505180359,0.489009172,5.25
930,0.834898174,0.734881401,0.615518034,0.575764835,5.26
1593,0.797916353,0.734416127,0.502154171,0.489725471,5.26
1458,0.766519248,0.683283865,0.517075896,0.498436481,5.27
1603,0.858514428,0.750663459,0.623487592,0.546771348,5.27
1879,0.796713769,0.721310377,0.552285075,0.52651149,5.28
1067,0.788793862,0.706587493,0.510837317,0.509614706,5.29
2267,0.816065013,0.732034922,0.580328584,0.550068796,5.29
2793,0.819320977,0.726523399,0.58540231,0.547518373,5.29
3087,0.830235422,0.748643339,0.606755733,0.569685876,5.29
3289,0.852388859,0.748242497,0.630197585,0.583718061,5.29
3805,0.806347251,0.737972021,0.564203143,0.52673769,5.29
3324,0.851236463,0.764809489,0.645412743,0.598520994,5.3
1498,0.8488608,0.760575294,0.708419263,0.639113545,5.31
1548,0.827453315,0.732284129,0.585449934,0.557300389,5.31
507,0.817054927,0.743088305,0.601779938,0.555616319,5.32
1295,0.828612506,0.735014737,0.636995196,0.586875796,5.33
3037,0.84026283,0.76153028,0.611326098,0.576027811,5.33
106,0.779197931,0.699871063,0.542455614,0.517994583,5.34
2401,0.791336894,0.707639515,0.61361444,0.547907889,5.34
152,0.841803193,0.739147902,0.630532444,0.587230384,5.35
1417,0.813242614,0.736203551,0.563721955,0.516851783,5.35
2407,0.809958696,0.709930301,0.558430731,0.530543029,5.36
239,0.852629006,0.751218975,0.670818508,0.620434225,5.38
2415,0.82214582,0.726174057,0.579538226,0.547440231,5.39
2660,0.802587748,0.734271944,0.534110248,0.514913857,5.39
3314,0.908169389,0.792843997,0.594773471,0.593897462,5.39
489,0.854074478,0.75018394,0.655098021,0.606664896,5.41
3325,0.800637305,0.725551486,0.559534729,0.53131026,5.41
945,0.76811105,0.692710578,0.578429699,0.529945552,5.42
3785,0.855286956,0.758997798,0.662542105,0.60723269,5.42
169,0.842931986,0.791364968,0.587153375,0.556156933,5.43
1315,0.823074698,0.741606355,0.60165751,0.557266057,5.43
1980,0.853349984,0.777605891,0.647080362,0.593296945,5.43
964,0.797747433,0.715802908,0.571934044,0.54072541,5.45
1273,0.868182302,0.773596227,0.696095526,0.632965028,5.45
1505,0.833930552,0.732605159,0.643663704,0.590578198,5.45
3157,0.81863004,0.731867909,0.600718319,0.562666833,5.45
2799,0.81008476,0.719338477,0.596014202,0.56917119,5.46
530,0.831173182,0.738947451,0.605240703,0.567260027,5.47
2920,0.782597065,0.72258693,0.540457904,0.524182618,5.47
3320,0.842263162,0.749886572,0.607802331,0.570871711,5.47
470,0.847676992,0.773003936,0.643395007,0.595976412,5.48
3109,0.851387501,0.759240568,0.651959658,0.603976727,5.48
3379,0.795485795,0.709540069,0.568507195,0.538506031,5.48
3709,0.835766912,0.74107182,0.640616,0.595585167,5.48
894,0.859100521,0.772603333,0.751105726,0.6597175,5.49
1694,0.817121804,0.720406115,0.580022454,0.547072113,5.49
1139,0.851282179,0.752684951,0.667547226,0.611400187,5.5
1332,0.718427241,0.657254279,0.479643255,0.461971015,5.51
2165,0.805307448,0.728861809,0.583239555,0.527327657,5.51
3295,0.849954486,2.454017878,0.724887669,0.651234031,5.51
321,0.8312397,0.74060595,0.60699302,0.573152244,5.52
1671,0.708123922,0.646335483,0.446612,0.449576557,5.52
3439,0.850321829,0.757856846,0.655498862,0.605376959,5.52
3706,0.77172333,0.685750306,0.527384162,0.509114325,5.52
928,0.773639739,0.687655807,0.517402053,0.497322798,5.53
1653,0.855001092,0.770839334,0.57930845,0.548068941,5.53
2876,0.853759289,0.761735439,0.647371352,0.60004586,5.53
3396,0.847266018,0.750453591,0.639098823,0.5903458,5.53
175,0.815081954,0.735062718,0.672426939,0.596639991,5.54
2878,0.822921336,0.733925998,0.64012289,0.583554327,5.54
922,0.824936926,0.72062093,0.601940632,0.56498915,5.55
3198,0.825080812,0.733555257,0.634656549,0.58105123,5.55
1044,0.851828933,0.758161068,0.674104035,0.617871225,5.57
2018,0.873560607,0.773347855,0.639507234,0.594385862,5.58
2701,0.77970624,0.707746029,0.512759626,0.49820438,5.58
274,0.828328907,0.72910893,0.653761446,0.599327564,5.59
585,0.817876518,0.732242882,0.57153827,0.545648396,5.59
2290,0.836036801,0.741938114,0.654124856,0.600430965,5.59
798,0.739311278,0.676623762,0.478718698,0.466249526,5.6
3316,0.779129565,0.714806378,0.549734712,0.522664607,5.6
2102,0.755621314,0.68897897,0.513046682,0.493258029,5.61
2292,0.803376317,0.72010082,0.612145901,0.570358992,5.61
5,0.766294003,0.682226062,0.547157824,0.524713099,5.62
660,0.822087109,0.726323068,0.577601254,0.54720068,5.62
791,0.782359123,0.71796006,0.545424998,0.519989371,5.62
1836,0.863187194,0.768256426,0.691288114,0.635558546,5.62
2211,0.846131504,0.75676775,0.639611244,0.585744798,5.62
290,0.819266975,0.742671609,0.584161222,0.542270839,5.63
329,0.826045036,0.723843992,0.594606757,0.558719158,5.63
463,0.833190143,0.747670949,0.624429166,0.585621476,5.63
985,0.847623706,0.754183829,0.622866154,0.58062005,5.63
1704,0.867126822,0.763259768,0.714610994,0.648816466,5.63
628,0.777483582,0.694742918,0.550051749,0.527958453,5.64
1920,0.807100356,0.71255517,0.589954197,0.551916778,5.64
803,0.828025103,0.734293461,0.620320499,0.577445567,5.65
988,0.825493217,0.726053774,0.596961558,0.564977884,5.65
1316,0.831328928,0.745439887,0.624839664,0.582398832,5.65
1415,0.835618794,0.75413686,0.626448989,0.583665073,5.65
1621,0.853656948,0.771495938,0.676733434,0.613647521,5.65
257,0.841805279,0.761092842,0.63720715,0.590937078,5.66
1589,0.798879683,0.713916838,0.572250962,0.546057045,5.67
3126,0.827182531,0.72584188,0.6164729,0.573171794,5.67
3466,0.855067015,0.76351732,0.661786854,0.608702421,5.67
3643,0.8290295,0.731914163,0.610368609,0.571857393,5.67
132,0.824693501,0.741458893,0.621775329,0.578781009,5.68
565,0.845914125,0.75787288,0.649566293,0.575621784,5.68
568,0.754535317,0.699733198,0.534790218,0.512144685,5.68
1511,0.841258466,0.77055794,0.631599903,0.584017217,5.68
2628,0.819877505,0.739055932,0.634912848,0.583603144,5.68
3803,0.825591147,0.743422031,0.637603879,0.576115966,5.7
40,0.819370627,0.740671575,0.616384327,0.572161555,5.71
355,0.846976519,0.741119802,0.626653552,0.588917255,5.71
629,0.772848308,0.711968422,0.560330689,0.522472262,5.71
2908,0.777833045,0.746925294,0.507902801,0.493400306,5.71
3806,0.844191253,0.742285788,0.62913245,0.585784435,5.71
231,0.848543406,0.750591278,0.674467146,0.630957484,5.72
458,0.854069352,0.755618989,0.671659768,0.618232548,5.72
1855,0.860483527,0.775092602,0.66929388,0.616479218,5.72
2429,0.857218981,0.772673666,0.670970142,0.609368563,5.72
